Per Tar Summary:
2104_049: .gz = 0, .pdf = 0
2404_074: .gz = 0, .pdf = 0
1903_029: .gz = 0, .pdf = 0
2310_080: .gz = 0, .pdf = 0
2211_061: .gz = 0, .pdf = 0
2302_051: .gz = 0, .pdf = 0
2311_006: .gz = 3, .pdf = 3
2012_009: .gz = 0, .pdf = 0
1308_002: .gz = 432, .pdf = 432
1911_004: .gz = 305, .pdf = 305
1706_010: .gz = 38, .pdf = 38
1610_017: .gz = 0, .pdf = 0
2305_090: .gz = 0, .pdf = 0
1405_003: .gz = 369, .pdf = 369
2201_030: .gz = 0, .pdf = 0
2402_039: .gz = 0, .pdf = 0
1704_003: .gz = 308, .pdf = 308
1710_019: .gz = 0, .pdf = 0
1611_022: .gz = 0, .pdf = 0
2210_047: .gz = 0, .pdf = 0
2012_052: .gz = 0, .pdf = 0
2411_061: .gz = 0, .pdf = 0
2305_087: .gz = 0, .pdf = 0
2410_096: .gz = 0, .pdf = 0
2009_008: .gz = 0, .pdf = 0
2204_015: .gz = 0, .pdf = 0
1805_030: .gz = 0, .pdf = 0
1704_018: .gz = 0, .pdf = 0
2103_063: .gz = 0, .pdf = 0
0610_001: .gz = 998, .pdf = 998
2202_042: .gz = 0, .pdf = 0
9503_001: .gz = 1167, .pdf = 1167
2205_078: .gz = 0, .pdf = 0
2107_063: .gz = 0, .pdf = 0
2409_014: .gz = 0, .pdf = 0
2206_075: .gz = 0, .pdf = 0
1402_012: .gz = 4, .pdf = 4
1205_004: .gz = 130, .pdf = 130
1801_004: .gz = 140, .pdf = 140
2307_049: .gz = 0, .pdf = 0
2308_071: .gz = 0, .pdf = 0
1806_027: .gz = 0, .pdf = 0
2403_034: .gz = 0, .pdf = 0
2401_066: .gz = 0, .pdf = 0
1107_005: .gz = 0, .pdf = 0
2207_074: .gz = 0, .pdf = 0
1110_005: .gz = 215, .pdf = 215
2010_054: .gz = 0, .pdf = 0
2302_030: .gz = 0, .pdf = 0
1802_005: .gz = 149, .pdf = 149
2304_005: .gz = 0, .pdf = 0
2002_039: .gz = 188, .pdf = 188
2110_073: .gz = 0, .pdf = 0
9405_001: .gz = 830, .pdf = 830
2302_022: .gz = 0, .pdf = 0
2301_039: .gz = 0, .pdf = 0
2409_106: .gz = 0, .pdf = 0
2309_061: .gz = 0, .pdf = 0
2203_027: .gz = 0, .pdf = 0
2102_053: .gz = 0, .pdf = 0
2301_068: .gz = 0, .pdf = 0
1508_016: .gz = 0, .pdf = 0
2006_053: .gz = 137, .pdf = 137
2312_063: .gz = 0, .pdf = 0
1109_004: .gz = 203, .pdf = 203
1106_007: .gz = 0, .pdf = 0
2106_066: .gz = 0, .pdf = 0
2310_049: .gz = 0, .pdf = 0
2403_007: .gz = 0, .pdf = 0
2206_083: .gz = 0, .pdf = 0
1511_006: .gz = 116, .pdf = 116
2203_047: .gz = 0, .pdf = 0
1703_014: .gz = 0, .pdf = 0
2205_074: .gz = 0, .pdf = 0
2106_005: .gz = 96, .pdf = 96
2406_075: .gz = 0, .pdf = 0
2003_027: .gz = 88, .pdf = 88
1905_033: .gz = 0, .pdf = 0
1310_003: .gz = 450, .pdf = 450
1601_015: .gz = 0, .pdf = 0
2303_057: .gz = 0, .pdf = 0
2311_075: .gz = 0, .pdf = 0
1312_010: .gz = 0, .pdf = 0
2403_017: .gz = 0, .pdf = 0
0409_002: .gz = 0, .pdf = 0
2108_033: .gz = 0, .pdf = 0
2404_044: .gz = 0, .pdf = 0
1605_021: .gz = 0, .pdf = 0
2206_056: .gz = 0, .pdf = 0
2102_016: .gz = 0, .pdf = 0
2404_127: .gz = 0, .pdf = 0
2105_009: .gz = 0, .pdf = 0
2203_078: .gz = 0, .pdf = 0
2405_096: .gz = 0, .pdf = 0
2212_071: .gz = 0, .pdf = 0
2008_049: .gz = 0, .pdf = 0
1908_035: .gz = 95, .pdf = 95
